,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,awards,url
37,The Vullens' Curse,Natasha House,28,86,3.79,108.0,2013.0,1,Fantasy,,https://www.goodreads.com/book/show/17856259-the-vullens-curse
38,Ann Marie's Asylum,Christopher Rankin,9,132,3.47,,2013.0,1,"Horror,Fantasy,Young Adult",,https://www.goodreads.com/book/show/19358045-ann-marie-s-asylum
39,Dragon Guardian: Fire,Aida Jacobs,8,21,4.14,392.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/20625411-dragon-guardian
40,The War of the Stolen Mother,Lorinda J. Taylor,3,8,4.38,415.0,2012.0,1,Science Fiction,,https://www.goodreads.com/book/show/15773135-the-war-of-the-stolen-mother
41,Island of Fire,Lisa McMann,591,11254,4.41,464.0,2013.0,1,"Fantasy,Childrens > Middle Grade,Young Adult",,https://www.goodreads.com/book/show/17063691-island-of-fire
42,Caitlin Goddess of Peace,Debbie Behan,0,3,4.33,578.0,2017.0,1,,,https://www.goodreads.com/book/show/20408906-caitlin-goddess-of-peace
43,The Art of Magic,Sharon Wheater,4,17,4.29,338.0,2013.0,1,,,https://www.goodreads.com/book/show/19207133-the-art-of-magic
44,The Eternal War Box Set,Holly Vane,1,6,4.0,419.0,2013.0,0,,,https://www.goodreads.com/book/show/19175100-the-eternal-war-box-set
45,Wolf Moon,C.D. Gorri,118,192,4.32,,2014.0,1,"Fantasy > Paranormal,Fantasy,Romance",,https://www.goodreads.com/book/show/20932870-wolf-moon
46,The Army of Mab,R. Lee Smith,20,434,4.14,856.0,2010.0,1,"Fantasy,Romance,Fantasy > Paranormal",,https://www.goodreads.com/book/show/9393725-the-army-of-mab
47,Salvation,A.M.C.,14,29,4.0,725.0,2014.0,0,"Science Fiction,Fantasy",,https://www.goodreads.com/book/show/21447909-salvation
48,Darkwells,R.A. Humphry,5,11,4.27,255.0,2013.0,0,,,https://www.goodreads.com/book/show/18480654-darkwells
49,Second on the Right,Elizabeth Los,26,48,4.08,506.0,2014.0,0,"Fantasy,Fiction,Retellings",,https://www.goodreads.com/book/show/18459893-second-on-the-right
50,Splintered,Hope Christine,4,13,4.08,325.0,2014.0,1,,,https://www.goodreads.com/book/show/21474286-splintered
51,Kendra Kandlestar and the Box of Whispers,Lee Edward Födi,28,127,4.12,240.0,2013.0,1,"Fantasy,Childrens,Childrens > Middle Grade",,https://www.goodreads.com/book/show/17572336-kendra-kandlestar-and-the-box-of-whispers
52,The Shifter,Janice Hardy,479,5938,3.83,370.0,2009.0,1,"Fantasy,Young Adult,Fantasy > Magic",,https://www.goodreads.com/book/show/6316125-the-shifter
53,Joinings,Stuart Aken,8,13,4.69,824.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/21803264-joinings
54,Shadows of the Keeper,Karey Brown,16,122,3.9,520.0,2013.0,0,"Science Fiction > Time Travel,Fantasy","Writer's Digest Self-Published Book Competition for Fiction (2014), Writer's Digest Self-Published e-Book Award for Genre Fiction (2014)",https://www.goodreads.com/book/show/19494442-shadows-of-the-keeper
55,Flight,Jason A. Cheek,16,198,3.95,344.0,2014.0,1,Fantasy,,https://www.goodreads.com/book/show/22009174-flight
56,Sheepfarmer's Daughter,Elizabeth Moon,635,11933,4.13,506.0,1988.0,1,"Fantasy,Fiction,Fantasy > Epic Fantasy","Locus Award Nominee for Best First Novel (1989), Compton Crook Award (1989)",https://www.goodreads.com/book/show/1559985.Sheepfarmer_s_Daughter
57,The Spirit of Imagination,S.A. Tawks,54,80,3.54,135.0,2013.0,1,"Fantasy,Adventure,Young Adult",,https://www.goodreads.com/book/show/17936156-the-spirit-of-imagination
58,Sword of Justice,Chris Wraight,12,153,3.99,416.0,2010.0,1,"Fantasy,Fiction",,https://www.goodreads.com/book/show/7095092-sword-of-justice
59,Roan,E.R. Barr,43,129,4.05,,2012.0,1,,Next Generation Indie Book Awards Nominee for Science Fiction/Fantasy (2013),https://www.goodreads.com/book/show/21687329-roan
60,Reborn,Cherie Reich,28,59,4.2,,2014.0,1,"Fantasy,Young Adult",,https://www.goodreads.com/book/show/17900718-reborn
61,The Starblood Trilogy,Carmilla Voiez,10,26,4.0,837.0,2014.0,0,Horror,,https://www.goodreads.com/book/show/22105599-the-starblood-trilogy
62,The Ballad of the Broken Soldier,Ash Stinson,2,3,3.33,306.0,2014.0,0,,,https://www.goodreads.com/book/show/21941497-the-ballad-of-the-broken-soldier
63,La Colonna di Antanacara - Avvento,Ronnie Pizzo,11,26,4.31,496.0,2014.0,0,,,https://www.goodreads.com/book/show/22236571-la-colonna-di-antanacara---avvento
