,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
50,Wyrd Sisters,Terry Pratchett,3487,104572,4.11,265,2001,1988,1,"Fantasy,Fiction,Humor",,"Lancre,Discworld,Ankh-Morpork",https://www.goodreads.com/book/show/34504.Wyrd_Sisters
51,The Legend of Deathwalker,David Gemmell,127,8092,4.32,376,1999,1996,1,"Fantasy,Fiction,Fantasy > Heroic Fantasy",,,https://www.goodreads.com/book/show/613994.The_Legend_of_Deathwalker
52,Elric: The Stealer of Souls,Michael Moorcock,28,758,4.02,625,1998,,1,"Fantasy,Fiction,Science Fiction",,,https://www.goodreads.com/book/show/399378.Elric
53,Lamentation,Ken Scholes,319,3148,3.71,366,2009,,1,"Fantasy,Fiction,Fantasy > Epic Fantasy","Locus Award Nominee for Best First Novel (2010), Grand Prix de l'Imaginaire for Roman étranger (2011), David Gemmell Morningstar Award Nominee for Best Fantasy Newcomer (2010)",,https://www.goodreads.com/book/show/3531469-lamentation
54,Angelology,Danielle Trussoni,2495,16841,3.43,451,2010,2010,1,"Fantasy,Fiction,Paranormal > Angels",,"Hudson Valley, New York,Paris",https://www.goodreads.com/book/show/6691426-angelology
55,Magic Steps,Tamora Pierce,477,22295,4.03,264,2006,2000,1,"Fantasy,Young Adult,Fantasy > Magic",,,https://www.goodreads.com/book/show/153781.Magic_Steps
56,Lord Foul's Bane,Stephen R. Donaldson,1776,49254,3.71,480,1989,1977,1,"Fantasy,Fiction,Science Fiction Fantasy","Gandalf Award Nominee (1978), August Derleth Award for Best Novel (1979)",,https://www.goodreads.com/book/show/219205.Lord_Foul_s_Bane
57,House Corrino,Brian Herbert,257,14952,3.7,667,2002,2001,1,"Science Fiction,Fiction,Fantasy",,,https://www.goodreads.com/book/show/20252.House_Corrino
58,"The Darksword Trilogy: Forging the Darksword, Doom of the Darksword and Triumph of the Darksword",Margaret Weis,8,449,3.77,,1989,1989,1,"Fantasy,Fiction",,,https://www.goodreads.com/book/show/28274.The_Darksword_Trilogy
59,Woman of Honor,Nicole Zoltack,31,137,3.59,165,2009,2009,1,"Fantasy,Romance,Young Adult",,,https://www.goodreads.com/book/show/6370163-woman-of-honor
60,Poseidon’s Children,Michael West,65,400,3.46,311,2012,,1,"Fantasy,Horror,Fantasy > Mythology",,"Colonial Bay, New Hampshire,New York City, New York,Atlantic Ocean",https://www.goodreads.com/book/show/13062645-poseidon-s-children
61,Men at Arms,Terry Pratchett,2215,92575,4.34,381,1994,1993,1,"Fantasy,Fiction,Humor",,"Ankh-Morpork,Discworld",https://www.goodreads.com/book/show/833425.Men_at_Arms
62,Magic Kingdom for Sale/Sold,Terry Brooks,1193,35255,3.9,324,1992,1986,1,"Fantasy,Fiction,Science Fiction Fantasy",,,https://www.goodreads.com/book/show/15547.Magic_Kingdom_for_Sale_Sold
63,Eon: Dragoneye Reborn,Alison Goodman,4291,66350,3.92,531,2008,2008,1,"Fantasy,Young Adult,Fantasy > Dragons","Locus Award Nominee for Best Young Adult Novel (2009), Victorian Premier's Literary Award Nominee for Young Adult Fiction Prize (2009), James Tiptree Jr. Award Nominee (2008), Aurealis Award for Best Fantasy Novel & Nominee for Young Adult Novel (2008), The Inky Awards Nominee for Gold Inky (2009)",,https://www.goodreads.com/book/show/2986865-eon
64,Tears of Joy,Michael Lawrence,17,29,4.62,169,2015,,0,Urban,,,https://www.goodreads.com/book/show/24735165-tears-of-joy
65,What Remains of Heroes,David Benem,75,611,3.85,486,2015,2015,1,"Fantasy,Fantasy > Dark Fantasy,Fiction",SPFBO Award Nominee for Best Fantasy Book (2015),,https://www.goodreads.com/book/show/25389017-what-remains-of-heroes
66,Kings or Pawns,J.J. Sherwood,92,133,4.31,383,2015,,1,"Fantasy,Fantasy > Epic Fantasy,Fantasy > Magic",,,https://www.goodreads.com/book/show/25155747-kings-or-pawns
67,The Phoenix Gate,Michael S. Vischi,5,9,4.11,500,2015,,0,,,,https://www.goodreads.com/book/show/25655627-the-phoenix-gate
68,अर्थला,Vivek Kumar,46,261,4.33,440,2016,,1,"Fantasy,Fiction,Asian Literature > Indian Literature",,,https://www.goodreads.com/book/show/30975102
69,"Of Life and Love (The Silver Dolphins Saga, #1)",M.M. Scott,7,15,4.87,347,2016,,0,Fantasy > Epic Fantasy,,,https://www.goodreads.com/book/show/32796164-of-life-and-love
70,Magium: The Mage Tournament (Book 1),Chris Michael Wilson,28,300,3.93,377,2017,,0,"Fantasy,Adventure,Gamebooks > Choose Your Own Adventure",,,https://www.goodreads.com/book/show/35831195-magium
71,The Shaman's Apprentice,B. Muze,23,43,4.26,404,2017,,1,,,,https://www.goodreads.com/book/show/37786729-the-shaman-s-apprentice
72,The Shadow Kingdom,C.J. Inkson,23,36,3.83,319,2018,2018,1,"Fantasy,Young Adult",,,https://www.goodreads.com/book/show/42605271-the-shadow-kingdom
73,Shalmar,Serena Whynd,6,43,4.26,,2018,,1,"Fantasy,Fantasy > Mythology,LGBT",,,https://www.goodreads.com/book/show/43228184-shalmar
74,Elrich: Guardian of the Firestone,Richard Turner,3,9,4.67,493,2019,,0,,,,https://www.goodreads.com/book/show/51106881-elrich
75,"The Legends of Eve: Book of Fire (A Warrior's Past, #2)",Anonymous .,30,104,4.7,,2020,,0,"Fantasy,Childrens > Middle Grade",,,https://www.goodreads.com/book/show/46033671-the-legends-of-eve
