,title,author,num_reviews,num_ratings,avg_rating,num_pages,publish_year,first_published,series,genres,awards,places,url
51,The White Dragon,Anne McCaffrey,899,45471,4.18,468,1986,1978,1,"Fantasy,Science Fiction,Fantasy > Dragons","Hugo Award Nominee for Best Novel (1979), Locus Award Nominee for Best SF Novel (1979), Ditmar Award for Best International Long Fiction (1979), Gandalf Award (1979), Balrog Award Nominee for Best Novel (1979) ...more",Pern,https://www.goodreads.com/book/show/127586.The_White_Dragon
52,The Complete Chronicles of Conan,Robert E. Howard,209,4726,4.29,927,2009,2006,0,"Fantasy,Adventure,Heroic Fantasy > Sword and Sorcery",,Hyboria,https://www.goodreads.com/book/show/828878.The_Complete_Chronicles_of_Conan
53,City of Glass,Cassandra Clare,30200,870233,4.29,541,2009,,1,"Fantasy,Young Adult,Fantasy > Paranormal","Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010), Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009), LovelyBooks Leserpreis for Fantasy (2009)","Alicante, Idris,New York City, New York",https://www.goodreads.com/book/show/3777732-city-of-glass
54,The Black Unicorn,Terry Brooks,345,17829,3.78,307,1999,1987,1,"Fantasy,Fiction,Science Fiction Fantasy",,,https://www.goodreads.com/book/show/92845.The_Black_Unicorn
55,The Castle of Llyr,Lloyd Alexander,1084,36196,4.05,174,2006,1966,1,"Fantasy,Young Adult,Fiction",,,https://www.goodreads.com/book/show/24779.The_Castle_of_Llyr
56,A Court of Wings and Ruin,Sarah J. Maas,36905,420717,4.41,705,2017,,1,"Fantasy,Romance,Young Adult",Goodreads Choice Award for Young Adult Fantasy & Science Fiction (2017) and Nominee for Best of the Best (2018),,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin
57,Mage Blood,Janet E. Morris,7,73,4.67,70,2012,,1,"Fantasy,Fantasy > Dark Fantasy",,,https://www.goodreads.com/book/show/13554702-mage-blood
58,Torn,Amanda Hocking,3269,66652,4.03,291,2010,,1,"Fantasy,Young Adult,Fantasy > Paranormal",,,https://www.goodreads.com/book/show/8606522-torn
59,Serpent Mage,Margaret Weis,194,20964,4.08,414,1993,1992,1,"Fantasy,Fiction,Fantasy > Epic Fantasy",,,https://www.goodreads.com/book/show/28507.Serpent_Mage
60,Grendel,John Gardner,2158,33855,3.69,174,2010,1971,0,"Fiction,Fantasy,Classics",Mythopoeic Fantasy Award Nominee (1972),,https://www.goodreads.com/book/show/676737.Grendel
61,The Sons of Thestian,M.E. Vaughan,94,333,4.03,550,2015,2015,1,"Fantasy,Young Adult,LGBT",,,https://www.goodreads.com/book/show/25194442-the-sons-of-thestian
